review_type_name,content,agenda,in_use
요건심의,사망군경심의,"순직군경, 순직공무원 및 재해사망공무원 요건 심의에 관한 건",True
요건심의,사망군경심의,순직군경 요건 심의에 관한 건,True
요건심의,상이군경심의,공상군경 및 재해부상군경 요건 심의에 관한 건,True
요건심의,사망군경심의,"전몰, 순직군경 및 재해사망군경 요건 심의에 관한 건",True
요건심의,사망군경심의,"전몰, 순직군경 및 재해부상군경 요건 심의에 관한 건",False
요건심의,상이공무원심의,공상공무원 요건 및 재해부상공무원 요건 심의에 관한 건,True
요건심의,사망군경심의,순직군경 및 재해사망군경 요건 심의에 관한 건,True
요건심의,독립유공자 및 유가족심의,독립유공자 및 유가족 심의에 관한 건,True
요건심의,사망군경심의,사망군경 심의에 관한 건,True
요건심의,상이군경심의,권리소멸 심의에 관한 건,True
요건심의,대상구분변경 심의,전상군경 요건 심의에 관한 건,True
요건심의,추가상이 심의,추가상이 인정 심의에 관한 건,True
요건심의,상이군경심의,공상군경 요건 심의에 관한 건,True
요건심의,상이군경심의,전공상군경 및 재해부상군경 요건 심의에 관한 건,True
요건심의,보국수훈자심의,보국수훈자 심의에 관한 건,True
요건심의,사망군경심의,전몰군경 요건 및 순직군경 요건 심의에 관한 건,True
요건심의,사망공무원심의,순직공무원 및 재해사망공무원 요건 심의에 관한 건,True
보상심의,법적용대상심의,법적용대상 심의에 관한 건,True
보상심의,보상정지심의,보상정지 심의에 관한 건,True
보상심의,상이사망 인정심의,상이사망 인정 심의에 관한 건,True
보상심의,반환의무면제심의,반환의무면제 심의에 관한 건,True
보상심의,결손처분심의,결손처분 심의에 관한 건,True
보상심의,법적용배제 및 재등록심의,법적용배제 및 재등록 심의에 관한 건,True
고엽제심의,고엽제후유증2세심의,고엽제후유증2세 심의에 관한 건,True
고엽제심의,고엽제후유(의)증심의,고엽제후유(의)증 심의에 관한 건,True
상이등급구분심의,신규(고엽제),상이등급 해당,False
