review_type_name,content,in_use
요건심의,사망군경심의,True
요건심의,상이군경심의,True
요건심의,사망공무원심의,True
요건심의,상이공무원심의,True
요건심의,독립유공자 및 유가족심의,True
요건심의,4·19혁명사상자심의,True
요건심의,재일학도의용군심의1,True
요건심의,6·18자유상이자심의,True
요건심의,5·18 민주대상심의,True
요건심의,대상구분변경 심의,True
요건심의,추가상이 심의,True
요건심의,등록전 사망군경심의,True
요건심의,등록전 사망공무원심의,True
요건심의,보국수훈자심의,True
요건심의,요건심의내용테스트,False
요건심의,테스트,False
요건심의,테스트는?,False
요건심의,공백 테스트,False
보상심의,상이사망 인정심의,True
보상심의,법적용대상심의,True
보상심의,법적용배제 및 재등록심의,True
보상심의,보상금결손 및 면제처분심의,False
보상심의,보상정지심의,True
보상심의,반환의무면제심의,True
보상심의,결손처분심의,True
고엽제심의,고엽제후유(의)증심의,True
고엽제심의,고엽제후유증2세심의,True
고엽제심의,고엽제후유증사망심의,True
기타심의,일반안건심의,True
기타심의,ㅇ,False
테스트심의유형,테스트심의내용,False
상이등급구분심의,신규,True
상이등급구분심의,재심,True
상이등급구분심의,재판정,True
상이등급구분심의,직권재판정,True
상이등급구분심의,신규(고엽제),True
상이등급구분심의,재심(고엽제),True
상이등급구분심의,재판정(고엽제),True
상이등급구분심의,직권재판정(고엽제),True
상이등급구분심의,재확인,True
상이등급구분심의,신규(상이급여금),True
상이등급구분심의,재심(상이급여금),True
상이등급구분심의,재확인(고엽제),True
상이등급구분심의,기타,True
심신장애등급심의,장애인,False
심신장애등급심의,신규(장애인),True
심신장애등급심의,재심(장애인),True
